graph_size,beta_exp,seed,degree,data_fit,complexity,constant,fro
20,1.0,1,4,[[-9.99997845]],9.892531736261018,-18.37877066409345,0.5704493524774856
20,1.0,1,5,[[-9.99988712]],9.909822619403398,-18.37877066409345,0.5710883810107437
20,1.0,1,6,[[-10.00003479]],9.907298106274792,-18.37877066409345,0.5704515035934299
20,1.0,1,7,[[-10.00006379]],9.905329767817415,-18.37877066409345,0.5698035789951319
20,1.0,1,8,[[-9.99988236]],9.904254038377193,-18.37877066409345,0.5694227798874347
20,1.0,1,9,[[-9.99916371]],9.902287402730714,-18.37877066409345,0.5675095040010337
20,1.0,1,10,[[-9.99840978]],9.90208217067207,-18.37877066409345,0.567229797722506
20,1.0,2,1,[[-9.9999987]],7.401023341894427,-18.37877066409345,0.30156827023676397
20,1.0,2,2,[[-10.0000082]],7.898097672640194,-18.37877066409345,0.04485469133946314
20,1.0,2,3,[[-9.99996843]],7.929021651375042,-18.37877066409345,0.19835579704364054
20,1.0,2,4,[[-9.99996409]],8.717878560141768,-18.37877066409345,0.4679587011026353
20,1.0,2,5,[[-9.99968453]],10.016252646908923,-18.37877066409345,0.45619082897104546
20,1.0,2,6,[[-9.99958462]],10.4076750097293,-18.37877066409345,0.5719597619071118
20,1.0,2,7,[[-9.99994576]],10.058838687197378,-18.37877066409345,0.42205414766925003
20,1.0,2,8,[[-9.99947516]],10.008513267675845,-18.37877066409345,0.42785197836841876
20,1.0,2,9,[[-9.99786927]],10.611575317667299,-18.37877066409345,0.8779633102240914
20,1.0,2,10,[[-10.00650578]],10.1592748467714,-18.37877066409345,0.5370341261072408
20,1.0,3,1,[[-10.]],11.282356329813805,-18.37877066409345,0.5483457780607038
20,1.0,3,2,[[-9.99993124]],11.61868440218728,-18.37877066409345,0.7536707194770104
20,1.0,3,3,[[-10.00010105]],11.882532101967758,-18.37877066409345,0.7104134767739235
20,1.0,3,4,[[-10.00032598]],11.914833010012721,-18.37877066409345,0.7286919123471577
20,1.0,3,5,[[-9.99992429]],12.67758815636901,-18.37877066409345,0.7123440553844155
20,1.0,3,6,[[-9.99961009]],13.34640273764787,-18.37877066409345,0.8505550873572414
20,1.0,3,7,[[-9.99996323]],13.276387560821332,-18.37877066409345,0.8513245497862522
20,1.0,3,8,[[-9.9991667]],13.213819438097891,-18.37877066409345,0.8477152388889324
20,1.0,3,9,[[-10.00103123]],15.811599032510506,-18.37877066409345,0.7760055421779442
20,1.0,3,10,[[-9.99625236]],12.725760443476005,-18.37877066409345,0.6766452254041734
20,1.0,4,1,[[-10.]],14.702197410315032,-18.37877066409345,0.808609023398998
20,1.0,4,2,[[-9.9999572]],15.238410136591886,-18.37877066409345,0.26976750286934953
20,1.0,4,3,[[-9.999964]],15.663966683709205,-18.37877066409345,0.797837214649089
20,1.0,4,4,[[-10.00001262]],15.685427130605357,-18.37877066409345,0.7984320785301809
20,1.0,4,5,[[-9.99997998]],16.108572134531897,-18.37877066409345,0.7810333157860018
20,1.0,4,6,[[-9.99965731]],16.05514323018116,-18.37877066409345,0.7725897682063081
20,1.0,4,7,[[-9.99964039]],16.14235259326086,-18.37877066409345,0.7853937491740176
20,1.0,4,8,[[-9.99989149]],16.171238717649082,-18.37877066409345,0.7931806491097452
20,1.0,4,9,[[-9.92697458]],18.542373711518792,-18.37877066409345,0.7563688826955499
20,1.0,4,10,[[-10.00000569]],16.17052736902974,-18.37877066409345,0.7907613056876092
20,10.0,0,1,[[-9.99999999]],18.0125223191408,-18.37877066409345,1.4910782694743228
20,10.0,0,2,[[-10.54671701]],37.56285856477544,-18.37877066409345,1.7232564907002481
20,10.0,0,3,[[-8.90755196]],70.69569382700124,-18.37877066409345,1.122121733876834
20,10.0,0,4,[[-10.14463689]],74.89860323784181,-18.37877066409345,0.44677762698063556
20,10.0,0,5,[[-9.85361233]],74.8090390554762,-18.37877066409345,0.5537725424034299
20,10.0,0,6,[[-9.63799096]],74.80218056095174,-18.37877066409345,0.5452156220676118
20,10.0,0,7,[[-9.9494834]],74.4607195428766,-18.37877066409345,0.3239578587373511
20,10.0,0,8,[[-8.80191607]],75.0664697607167,-18.37877066409345,0.6447310350894597
20,10.0,0,9,[[-9.802639]],74.56267745714024,-18.37877066409345,0.10885032524347611
